iter	Passed	Remaining
0	5	572
1	10	500
2	14	475
3	18	442
4	24	464
5	28	444
6	31	420
7	34	395
8	37	376
9	40	366
10	43	354
11	46	342
12	48	327
13	50	311
14	52	299
15	54	287
16	56	275
17	58	265
18	59	255
19	61	246
20	63	238
21	65	231
22	67	224
23	68	217
24	70	211
25	72	205
26	73	199
27	75	193
28	76	187
29	78	182
30	79	177
31	81	172
32	82	167
33	84	163
34	85	158
35	87	154
36	88	150
37	90	146
38	91	143
39	92	139
40	94	135
41	94	131
42	96	127
43	97	124
44	99	121
45	100	118
46	102	115
47	103	112
48	104	109
49	106	106
50	107	103
51	109	100
52	111	98
53	112	96
54	113	92
55	115	90
56	116	87
57	117	85
58	119	82
59	120	80
60	122	78
61	124	76
62	125	73
63	127	71
64	128	69
65	129	66
66	131	64
67	132	62
68	134	60
69	135	58
70	136	55
71	138	53
72	139	51
73	141	49
74	142	47
75	143	45
76	145	43
77	146	41
78	147	39
79	149	37
80	150	35
81	152	33
82	153	31
83	154	29
84	156	27
85	157	25
86	159	23
87	160	21
88	161	20
89	163	18
90	164	16
91	166	14
92	167	12
93	168	10
94	170	8
95	171	7
96	172	5
97	174	3
98	175	1
99	177	0
