iter	Passed	Remaining
0	146	146509
1	149	74729
2	153	51003
3	156	38886
4	160	32034
5	163	27076
6	165	23531
7	168	20864
8	171	18932
9	175	17330
10	177	15962
11	180	14860
12	182	13881
13	188	13273
14	191	12566
15	194	11932
16	196	11365
17	201	10967
18	203	10512
19	207	10158
20	209	9751
21	210	9365
22	215	9136
23	217	8828
24	219	8554
25	221	8284
26	223	8058
27	225	7829
28	229	7684
29	231	7492
30	234	7332
31	236	7139
32	237	6957
33	238	6787
34	240	6643
35	244	6535
36	245	6400
37	248	6287
38	249	6154
39	251	6027
40	252	5906
41	254	5803
42	258	5747
43	260	5652
44	261	5552
45	264	5477
46	265	5385
47	267	5301
48	269	5233
49	272	5173
50	274	5101
51	275	5024
52	277	4952
53	278	4879
54	279	4809
55	281	4742
56	282	4676
57	284	4613
58	286	4567
59	288	4513
60	289	4458
61	290	4402
62	292	4347
63	293	4294
64	319	4598
65	322	4558
66	323	4509
67	325	4460
68	327	4414
69	328	4368
70	334	4378
71	336	4341
72	338	4299
73	341	4273
74	344	4252
75	350	4264
76	352	4224
77	355	4197
78	356	4159
79	359	4130
80	367	4173
81	371	4161
82	373	4124
83	375	4096
84	381	4103
85	383	4077
86	385	4047
87	387	4019
88	390	3995
89	393	3973
90	396	3958
91	398	3931
92	400	3904
93	403	3890
94	405	3865
95	409	3856
96	411	3833
97	414	3811
98	416	3786
99	417	3761
100	419	3735
101	422	3723
102	425	3708
103	427	3684
104	429	3658
105	431	3641
106	437	3651
107	444	3667
108	459	3754
109	461	3734
110	463	3709
111	465	3689
112	466	3664
113	475	3695
114	480	3695
115	484	3690
116	487	3678
117	489	3658
118	491	3636
119	494	3625
120	503	3654
121	504	3631
122	506	3610
123	509	3602
124	511	3581
125	515	3575
126	518	3565
127	520	3545
128	522	3528
129	524	3508
130	525	3488
131	527	3469
132	533	3479
133	537	3474
134	540	3460
135	542	3447
136	552	3483
137	555	3472
138	557	3454
139	564	3469
140	566	3451
141	567	3431
142	570	3416
143	573	3410
144	577	3405
145	579	3388
146	580	3369
147	582	3350
148	583	3331
149	584	3313
150	586	3295
151	587	3277
152	589	3263
153	591	3249
154	593	3233
155	594	3216
156	595	3199
157	597	3182
158	598	3165
159	599	3149
160	600	3130
161	602	3115
162	605	3109
163	607	3098
164	609	3082
165	610	3067
166	611	3051
167	613	3036
168	614	3021
169	615	3006
170	617	2992
171	619	2980
172	620	2967
173	622	2953
174	623	2939
